asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00046,31,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,c1f72345f4ad0632b3c3521da9d9de089401bd03bb9a8454c581ebd7145257ea,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=46; payloadBytes=2439; exactTagIdentitySha256=bd35cf0fbc22f886449f37ebb9a480c171566b873771e5d8c551de70637584a9; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00047,32,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,aedb8d3bf575239f9c7875adbbc5108fa73b08b34811d6794c8c6c1fceb0be2d,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=47; payloadBytes=2469; exactTagIdentitySha256=390a6461774ac9208b5e361afc7ebc3efbb75f2ed281fc63aa059b9bb48a3edc; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00048,33,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,964eaa3e70854998ab4b5aed154f04d7681fcc5c4c629b3272e6423edcde7395,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=48; payloadBytes=2459; exactTagIdentitySha256=e40c762c753fdbf6792a729a0cb844bac6a530b127c37a42eb35f08dfb9df87f; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00049,34,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,a9af26badba85d78150605236eedc6dc17a14283a9d132ba9606c0175017667b,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=49; payloadBytes=2450; exactTagIdentitySha256=9a5478022d308820eacc33b89a4a4f46e6881d6fbfa2943f0c3f735b40ef117e; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00050,35,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,a2a0bdb6ddc8589e281a9da23b908f81520fe7f84ef26e93c30f0576847dc6a1,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=50; payloadBytes=2456; exactTagIdentitySha256=da96f69313c3fa4de8d430adf68ab4168657387ea7aa43460c15e19636833867; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00051,36,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,6b02dd6faf2b0dd277f184ab9bf8cbfb523f5c243bc6d4efaa7a006a9218dc42,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=51; payloadBytes=2437; exactTagIdentitySha256=5813ec811f48b4a528f8cadb5aed4422d18706fbc87927f468f7b0edb9b13dd7; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00052,37,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,e1d541fd09689b5b37e5fb891f97b1f863cc985fc21f410b495f2208570bffba,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=52; payloadBytes=2459; exactTagIdentitySha256=7b301ee097c7bef6aa080540af9a7b3cebe4b8f8420585014d651dfa7393cd1d; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00053,38,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,52729309caaf6a8e64b8fe118a843b65d725bfa22abe220e98436038f4b95b20,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=53; payloadBytes=3320; exactTagIdentitySha256=d58e6308d2a6ba0d5e44aa05cae46285acc3a7108152d2f183566779c2c32756; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00054,39,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,3ebed676831db4b21c5cd5464f448322e8ce46554ffb734199de80d884682a91,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=54; payloadBytes=3139; exactTagIdentitySha256=219c2ceb7a3c426a8419cc6e59f58f93196ba2f40746fde809aa3954b4fa28bb; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00055,40,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,3074fc303018b1ff43287ee71938bd4b7b595ae694bc6559b618e81c4f36df0c,DefineShape2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=55; payloadBytes=158; exactTagIdentitySha256=d5c14a67411946e5d802ec8aef789673d6edb2316d482842c7f70765179b84c6; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
