object_id,tag_type,element_bytes,element_sha256,source_artifact,source_artifact_sha256,source_uncompressed_sha256,projection,runtime_reachability,renderer_adoption,acceptance_effect
50,DefineText,846,b58436de40c58c71f8d34288f52dfd3571e58e6d7de6caf4a73a7644e87f09b0,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
51,DefineText,847,def9b2cc70710972c5329013c88a8a33d699158575df79d377b7d6462f72654b,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
52,DefineText,846,3dd4419a7fee3b0fcb568c1b5052e3fb85a0be8c2daef38186474d7008632bb6,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
53,DefineText,846,136c2063951085fb610873f1d1a6f58cca2f6a3cec4d748f5a26f19cbf346ea1,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
54,DefineText,902,975cab33a7be3dc4f538f0995b238202528fc1ad9a2722cc9d6c5ff805d05739,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
55,DefineText,902,841caf4b1e90bc917971f7ef8ee18e03d205a557c8472a03250b5184cc74eb44,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
56,DefineText,902,ca47cace0a65ca09c54f3c9f34247b2a33ac73e8b797afb80dfe5bc56bf0de78,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
57,DefineText,902,9020bfcdf0b337c8fb5a3e27beda9c78a848479d95a48fca671c764fe5e79282,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
58,DefineText,902,74fe7b36489298c7b271efe0d6bd6e8722676803da115e000690ca8f260860b0,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
59,DefineText,902,7d18cd4b1a9a22e86aaeac18cccb1281d0e61542617ff39b599057e93f739dc4,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
60,DefineText,902,dca8f0fac1680761950e77e4edde999220b51773e98f41ebd9645b118c036260,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
61,DefineText,902,39a8d402d1850f9b0abf5335c1d52d0a4ef9a50ed8aa0c35298791de0d72bee6,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
62,DefineFont2,3255,6a5f1254bae014750f5e742f96c4d53a4f8013407b35d73c30bc55823798397d,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
63,DefineText,902,63c8cbb1b2fb61a39b517ced2ab8d5d4f46ea3b1dd04ec40b143bd150408d498,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
64,DefineShape,828,ab70c61303e8f181fafe44cf31b8826502ecd7c1e459fa006c837e229dfa03f2,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
65,DefineText,848,cb025c1170e5ca2b18ff6b7b93197c3d438e727ec352307ae4b5cfb2dd037aad,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
66,DefineText,847,e0cb19f8a2029ac551250659052a876a5613b2204e08c6a8203beb920a463681,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
67,DefineText,847,c52a73e03f63e8604f07c6ad216340c344cd4606b8b9fa707668c94ca10a4071,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
